8,91
8,91
522,0
389,29
260,30
15,76
16,60
202,41
132,42
16,60
64,58
408,14
460,13
203,40
228,39
11,84
13,80
465,12
483,11
256,32
122,44
88,52
105,48
115,46
132,42
71,56
81,54
98,50
88,52
64,58
115,46
122,44
71,56
81,54
105,48
10,86
9,89
242,36
248,34
260,30
399,21
407,15
395,23
516,4
403,17
394,24
400,20
402,18
390,28
392,26
518,3
520,1
239,37
498,8
255,33
248,34
232,38
505,7
15,76
11,84
9,89
14,78
14,78
13,80
10,86
98,50
510,6
498,8
460,13
505,7
488,10
465,12
488,10
493,9
483,11
493,9
515,5
510,6
98,50
232,38
228,39
239,37
242,36
397,22
405,16
405,16
522,0
397,22
518,3
520,1
408,14
393,25
393,25
401,19
202,41
515,5
391,27
391,27
401,19
255,33
